OutputText;Text;Intent;MatchedEntities;Response;State;Color;Brightness;Temperature;Delay
apri dittenda camerina;apri tenda camerina;HassTurnOn;['cover.scuri_camerina'];default;;;;;0.6834315976789282
Cendi camera;accendi camera;HassTurnOn;['light.camera_da_letto'];lights_area;;;;;2.6080543096634616
Accendi, luci bagno principale;accendi luci bagno principale;HassTurnOn;['light.bagno'];lights_area;;;;;2.2071041410499608
Accendi Camerina;accendi camerina;HassTurnOn;['light.camerina'];lights_area;;;;;0.6322752073876265
accendi scala;accendi scala;HassTurnOn;['light.scala'];lights_area;;;;;1.3926902589569412
accendi cucina;accendi cucina;HassTurnOn;['light.cucina'];lights_area;;;;;1.3663888690127175
spiegni cucina;spegni cucina;HassTurnOff;['light.cucina'];lights_area;;;;;2.3269493131501298
spenni scala;spegni scala;HassTurnOff;['light.scala'];lights_area;;;;;2.6922445009331177
spenni cucina;spegni cucina;HassTurnOff;['light.cucina'];lights_area;;;;;2.7352906300835333
spenni luce banjo principale;spegni luce bagno principale;HassTurnOff;['light.bagno'];lights_area;;;;;1.9280365477260446
spenghi luce bagno principale;spegni luce bagno principale;HassTurnOff;['light.bagno'];lights_area;;;;;2.628052635040386
Spenghi Camerina;spegni camerina;HassTurnOff;['light.camerina'];lights_area;;;;;1.9799418791815155
spenni camera letto;spegni camera letto;HassTurnOff;['light.luce_cri'];lights_area;;;;;2.3856639942881257
acendi lurci cri;accendi luci cri;HassTurnOn;['light.luce_cri'];lights_area;;;;;1.3822724171741698
Accendi luce crei.;accendi luce cri;HassTurnOn;['light.luce_cri'];lights_area;;;;;2.8763404526795737
Spenni luci kri!;spegni luce cri;HassTurnOff;['light.luce_cri'];lights_area;;;;;2.0148194740485086
Accende il lucio e marco?;accendi luce marco;HassTurnOn;['light.luce_marco'];lights_area;;;;;0.6774841519936978
Spegni luce Marco;spegni luce marco;HassTurnOff;['light.luce_marco'];lights_area;;;;;2.227822058214668
Accendi Lucia Cri.;accendi luce cri;HassTurnOn;['light.luce_cri'];lights_area;;;;;1.7435386421506387
accenni luce cristina;accendi luce cristina;HassTurnOn;['light.luce_cri'];lights_area;;;;;1.9042732432629208
riscalda camera Giulia;riscalda camera giulia;HassTurnOn;['climate.condizionatore_camera_giulia'];default;;;;;2.146611464501822
riscalda studiolo;riscalda studiolo;HassTurnOn;['climate.condizionatore_studio'];default;;;;;0.978453818801694
Priscalda Salotto;riscalda salotto sopra;HassTurnOn;['climate.riscalda_soggiorno'];default;;;;;1.01440179460361
metti a 23 gradi,camera letto;metti a 23 gradi camera letto;HassClimateSetTemperature;['climate.condizionatore_camera'];default;;;23.0;;2.2448720541321707
Imposta 20 grandi soggiorno.;metti a 20 gradi soggiorno;HassClimateSetTemperature;['climate.riscalda_soggiorno'];default;;;20.0;;1.5400953683649925
Imposta 20° Camerina;imposta 20° camerina;HassClimateSetTemperature;['climate.riscalda_soggiorno'];default;;;20.0;;2.022382308097737
Imposta 19.5 studiola;imposta 19.5 studiolo;HassClimateSetTemperature;['climate.condizionatore_studio'];default;;;19.5;;2.9986864258341486
Lucia cucina 80%;luce cucina 80%;HassLightSet;['light.cucina'];brightness_area;;;80.0;;0.8539259317669199
Lucia e cucina 80%;luce cucina 80%;HassLightSet;['light.cucina'];brightness_area;;;80.0;;1.474738679004305
Luce camera a letto 80%;luce camera da letto 80%;HassLightSet;['light.camera_da_letto'];brightness_area;;;80.0;;2.601080918291101
Luce,bagno,50%;luce bagno 50%;HassLightSet;['light.bagno'];brightness_area;;;80.0;;1.5126626633923927
Lucia e camera,lettu blue;luce camera da letto blu;HassLightSet;['light.camera_da_letto'];color_area;;Blu;;;0.886973338650517
Lucce Blue Camera Letto;luce blu camera letto;HassLightSet;['light.camera_da_letto'];color_area;;Blu;;;0.6449555231686093
Accendi condizionatore,camera,letto,21 gradi.;accendi condizionatore camera letto 21 gradi;HassClimateSetTemperature;['climate.condizionatore_camera'];default;;;21.0;;0.7506918634065236
Accendi condissionatore e studiolo!;accendi condizionatore studiolo;HassTurnOn;['climate.condizionatore_studio];default;;;;;0.9678611748432329
A Priporta Finestra;apriporta finestra;HassTurnOn;['cover.porta_finestra'];default;;;;;2.0083427008084893
chiudi porta finestra.; chiudi porta finestra;HassTurnOff;['cover.porta_finestra'];default;;;;;2.108164249714216
A pri lucernaio bano;apri lucernaio bagno;HassTurnOn;['cover.velux'];default;;;;;2.3863025655925494
