OutputText;Text;Intent;MatchedEntities;Response;State;Color;Brightness;Temperature;Delay
accendi luce cucina; accendi luce cucina;HassTurnOn;['light.luce_cucina'];lights_area;;;;;0.9934095369988014
spenni lute cucina; spegni luce cucina;HassTurnOff;['light.luce_cucina'];lights_area;;;;;0.696166058740642
accendi luce corridolio; accendi luce corridoio;HassTurnOn;['light.luce_corridoio'];lights_area;;;;;2.6219569053286076
Speni luce con ridoio; spegni luce corridoio;HassTurnOff;['light.luce_corridoio'];lights_area;;;;;0.7370928060948632
accendi luce in camera; accendi luce in camera;HassTurnOn;['light.luce_maria','light.luce_rodolfo'];lights_area;;;;;2.2928481549495237
spenni luce in camera; spegni luce in camera;HassTurnOff;['light.luce_maria','light.luce_rodolfo'];lights_area;;;;;2.6483026235550766
accendi bagno; accendi il bagno;HassTurnOn;['light.luce_bagno'];lights_area;;;;;0.5294619932605398
accendi luce in bagno; accendi luce in bagno;HassTurnOn;['light.luce_bagno'];lights_area;;;;;1.0239436921302485
spini luce in bagno; spegni luce in bagno;HassTurnOff;['light.luce_bagno'];lights_area;;;;;1.608352678777884
accendimenti ventilatorre nella camera; accendi il ventilatore nella camera;HassTurnOn;['fan.ventilatore_camera'];fans_area;;;;;2.3679379779181087
spiegni il ventilatore nella camera; spegni il ventilatore nella camera;HassTurnOff;['fan.ventilatore_camera'];fans_area;;;;;1.01146613047082
in posta luminosità cucina 75%; imposta luminosità cucina a 75%;HassLightSet;['light.luce_cucina'];brightness_area;;;75.0;;0.9050101929834865
Imposta luminosità a corridoio 50%.; imposta luminosità corridoio a 50%;HassLightSet;['light.luce_corridoio'];brightness_area;;;50.0;;0.9553951455888747
Imposta luminosità camera a 100%.; imposta luminosità camera a 100%;HassLightSet;['light.luce_camera'];brightness_area;;;100.0;;0.7178886266693852
metti in bagno la luminosità all'80%; metti in bagno la luminosità all'80%;HassLightSet;['light.luce_bagno'];brightness_area;;;80.0;;0.8034966289150887
Impostate in temperatura del condizionatore a 26°C e mezzo; imposta la temperatura del condizionatore a 26°C e mezzo;HassClimateSetTemperature;['climate.condizionatore'];default;;;;26.5;0.8601593628034022
accendi luce balcona; accendi luce balcone;HassTurnOn;['light.luce_balcone'];lights_area;;;;;2.6416778602502076
spenni luce balkona; spegni luce balcone;HassTurnOff;['light.luce_balcone'];lights_area;;;;;1.0654801770419706
Imposta temperatura termosifone a 21 gradi.;imposta temperatura termosifone a 21 gradi;HassClimateSetTemperature;['climate.termosifone_camera','climate.termosifone_cucina','climate.termosifone_corridoio','climate.termosifone_bagno'];default;;;21.0;;1.1254571453711164
Imposta Balvola termostratica a 19 gradi e mezzo; imposta valvola termostatica a 19 gradi e mezzo;HassClimateSetTemperature;['climate.termosifone_camera','climate.termosifone_cucina','climate.termosifone_corridoio','climate.termosifone_bagno'];default;;;19.5;;0.6481892630581405
Imposta riscaldamento in bagno a 19 gradi.; imposta riscaldamento in bagno a 19 gradi;HassClimateSetTemperature;['climate.termosifone_bagno'];default;;;19.0;;1.7025682132130597
accendi luce a studio; accendi luce studio;HassTurnOn;['light.luce_studio'];lights_area;;;;;1.991350346773193
Spenne lucia studio; spegni luce studio;HassTurnOff;['light.luce_studio'];lights_area;;;;;1.596495633502196
imposto a luce verde in cucina; imposta luce verde in cucina;HassLightSet;['light.luce_cucina'];color_area;;Verde;;;2.094606198044968
metti luce blu in camera; metti luce blu in camera;HassLightSet;['light.luce_maria','light.luce_rodolfo'];color_area;;Blu;;;0.6653828706987457
metti il luce gialla in corridoio; metti luce gialla in corridoio;HassLightSet;['light.luce_corridoio'];color_area;;Giallo;;;2.25485899593734
metti luce a rancione in balkona; metti luce arancione in balcone;HassLightSet;['light.luce_balcone'];color_area;;Arancione;;;1.739519549345768
un po' a saluto luce bianca in bagno; accendi luce bianca in bagno;HassLightSet;['light.luce_bagno'];color_area;;Bianco;;;2.3919381936173916
