OutputText;Text;Intent;MatchedEntities;Response;State;Color;Brightness;Temperature;Delay
accendi luce, bagno;accendi luce bagno;HassTurnOn;['light.luce','light.luce_specchio'];lights_area;;;;;1.375429552948884
accendi luce camera;accendi luce camera;HassTurnOn;['light.luce_1'];lights_area;;;;;2.07987167082175
accendi luce corridoio;accendi luce corridoio;HassTurnOn;['light.luce_2'];lights_area;;;;;1.6324536986542144
accendi luce in studio;accendi luce in studio;HassTurnOn;['light.luce_3'];lights_area;;;;;1.3876385611877382
accendi luce cucina;accendi luce cucina;HassTurnOn;['light.luce_4'];lights_area;;;;;2.2408470929332136
accendi luce salotto;accendi luce salotto;HassTurnOn;['light.luce_5'];lights_area;;;;;2.889646292743111
Cendi luce, scabuzino;accendi luce sgabuzzino;HassTurnOn;['light.luce_6'];lights_area;;;;;2.485873349637836
accendi luce garage;accendi luce garage;HassTurnOn;['light.luce_7'];lights_area;;;;;2.251787220523189
speniluce bagno;spegni luce bagno;HassTurnOff;['light.luce','light.luce_specchio'];lights_area;;;;;2.488959365618019
spenni luce, camera;spegni luce camera;HassTurnOff;['light.luce_1'];lights_area;;;;;1.6209681353195364
Segni luce e accorri doio;spegni luce corridoio;HassTurnOff;['light.luce_2'];lights_area;;;;;2.4586150788769023
spigni luce nel studio;spegni luce nello studio;HassTurnOff;['light.luce_3'];lights_area;;;;;1.4695498739741475
spegni luce in cucina;spegni luce in cucina;HassTurnOff;['light.luce_4'];lights_area;;;;;2.5488421880452994
spenni luce in salotto;spegni luce in salotto;HassTurnOff;['light.luce_5'];lights_area;;;;;2.0437447121937655
Spegni luce in scabuzzino;Spegni luce in sgabuzzino;HassTurnOff;['light.luce_6'];lights_area;;;;;1.132230068816872
spenni luce e in garage;spegni luce in garage;HassTurnOff;['light.luce_7'];lights_area;;;;;1.0384794473889811
Imposta luminosità 25% in bagno.;Imposta luminosità 25% in bagno.;HassLightSet;['light.luce','light.luce_specchio'];brightness_area;;;25.0;;1.1985616007985163
metti luminosità in camera al 80%;metti luminosità in camera all'80%;HassLightSet;['light.luce_1'];brightness_area;;;80.0;;1.768585656272718
Impassa luminosità, corridoio, al 45%.;Impassa luminosità, corridoio, al 45%.;HassLightSet;['light.luce_2'];brightness_area;;;45.0;;0.5864863103063124
Imposta luminosità al 70% nello studio.;Imposta luminosità al 70% nello studio;HassLightSet;['light.luce_3'];brightness_area;;;70.0;;1.500475124493731
metti luminosità in cucina a 80%.;metti luminosità in cucina a 80%;HassLightSet;['light.luce_4'];brightness_area;;;80.0;;0.871921143698968
Impossa luminosità in salotto a 65%;imposta luminosità in salotto a 65%;HassLightSet;['light.luce_5'];brightness_area;;;65.0;;1.895569779156717
metti luminosità in scabuzino al 40%.;metti luminosità nello sgabuzzino al 40%;HassLightSet;['light.luce_6'];brightness_area;;;40.0;;0.548211718678216
alluminosità garage al 85%;imposta luminosità garage all'85%;HassLightSet;['light.luce_7'];brightness_area;;;85.0;;2.32875566122081
metti in bagno lucerossa;metti in bagno luce rossa;HassLightSet;['light.luce','light.luce_specchio'];color_area;;Rosso;;;2.581513489550834
imposta in camera in.. in lucia e in blue...;imposta in camera da letto una luce blu;HassLightSet;['light.luce_1'];color_area;;Blu;;;0.6257173425567737
metti in corridoglio una luce arancione;metti in corridoio una luce arancione;HassLightSet;['light.luce_2'];color_area;;Arancione;;;1.8010325857536729
imposta nel studio una luce verde.;imposta nello studio una luce verde;HassLightSet;['light.luce_3'];color_area;;Verde;;;1.0867040146920806
imposta in cucina una luce viola;imposta in cucina una luce viola;HassLightSet;['light.luce_4'];color_area;;Viola;;;2.889095324460832
insalotto una luce rossa; metti in salotto una luce rossa;HassLightSet;['light.luce_5'];color_area;;Rosso;;;0.6258624468900928
metti nello sgabuzzino, una nuce dianca.;metti nello sgabuzzino una luce bianca;HassLightSet;['light.luce_6'];color_area;;Bianco;;;1.9841163538400728
imposta in gragi, una luce.;imposta in garage una luce bianca;HassLightSet;['light.luce_7'];color_area;;Bianco;;;0.929142334455954
Imposta condizionatore in camera da netto a 25 gradi.;imposta condizionatore in camera da netto a 25 gradi;HassClimateSetTemperature;['climate.condizionatore'];default;;;;25.0;2.340889224129486
accenti condizionatore impostato su 24 gradi nello studio.;accendi condizionatore impostato su 24 gradi nello studio.;HassClimateSetTemperature;['climate.condizionatore_1'];default;;;;24.0;1.8211810250458718
in bosta condizionatore il salotto a 27.;imposta condizionatore in salotto a 27 gradi;HassClimateSetTemperature;['climate.condizionatore_2'];default;;;;27.0;2.5875838937021407
che in temperatura c'è in camera;che temperature c'è in camera;HassClimateGetTemperature;['climate.condizionatore'];default;;;;;2.6991279385044233
